Term;NES_BIMplusBAK;FDR_BIMplusBAK;NES_BIMminusPF;FDR_BIMminusPF
oligosaccharide biosynthetic process (GO:0009312);;;-1.976506477816628;0.0274888565512126
peptide biosynthetic process (GO:0043043);-2.66843366329092;0.0;;
peptidyl-proline modification (GO:0018208);-2.0459459378710063;0.0029225389529233;;
peroxisome organization (GO:0007031);2.1578243620040074;0.0210876663951624;2.1721787409401547;0.0249157107354724
phototransduction, visible light (GO:0007603);2.5209254009825344;0.0;;
positive regulation by host of viral process (GO:0044794);-1.8804423840989797;0.0238214841180025;;
positive regulation of DNA biosynthetic process (GO:2000573);;;-1.9082431012592544;0.0456681566987447
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971);;;-1.8930741798413249;0.048117087858615
positive regulation of apoptotic signaling pathway (GO:2001235);;;-1.960198503814436;0.0299192131771569
positive regulation of cell cycle G2/M phase transition (GO:1902751);-1.8173108246270928;0.0433110705636969;-1.9975282767420728;0.0258973151095179
positive regulation of defense response (GO:0031349);;;-1.940800217755336;0.034657114253744
positive regulation of establishment of protein localization to telomere (GO:1904851);-1.9791356490607572;0.0076832508686319;;
positive regulation of inflammatory response (GO:0050729);;;-1.980296587942972;0.0286224610908839
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244);;;-1.9249274574547055;0.0382067536692988
positive regulation of keratinocyte proliferation (GO:0010838);-1.841184313350202;0.035056280352784;;
positive regulation of leukocyte migration (GO:0002687);;;-2.1036966777458983;0.0131278991151828
positive regulation of mitotic cell cycle phase transition (GO:1901992);-1.8299333056557785;0.0387034078712819;;
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862);;;-1.9642468112829128;0.028925879406335
positive regulation of protein kinase activity (GO:0045860);-1.8219762631970335;0.0416542008805859;;
positive regulation of protein localization to Cajal body (GO:1904871);-1.976255408291479;0.0078465243544505;;
positive regulation of protein localization to chromosome, telomeric region (GO:1904816);-2.0971252218211127;0.0014045211472786;;
positive regulation of protein localization to nucleus (GO:1900182);-1.94120191044394;0.0124166467981644;;
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052);-1.8391423387016363;0.0352263309967399;;
