Gene ID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ENSMUSG00000000134;860.1194802690993;-0.01478004435125658;0.07956452351192293;-0.18576174026910067;0.8526316090910542;0.9828905272150411
ENSMUSG00000000142;201.7154748354536;0.19794106386538854;0.14411171907923198;1.3735251035105716;0.16958916259419876;0.7409890115621525
ENSMUSG00000000148;480.42033859914955;0.11975896599193113;0.07556896869016035;1.5847638001115747;0.11302001004243584;0.6830464907107653
ENSMUSG00000000149;2322.0356932854966;0.053715786047792646;0.04950114909224696;1.0851422044302765;0.2778586773174391;0.8036057712138611
ENSMUSG00000000154;189.3617849438879;-0.0031534534373578098;0.1651370987630658;-0.0190959721405927;0.984764544611549;0.9981761367946816
ENSMUSG00000000167;15.060959341739816;-0.16466205362967845;0.42718800984072897;-0.385455700620133;0.6998998213750176;
ENSMUSG00000000168;2255.989742812067;-0.08948766062252841;0.0541864564765445;-1.6514765209137567;0.09864131114471447;0.6720180395528168
ENSMUSG00000000171;1895.583440384896;-0.029439404759008168;0.062072359139192575;-0.4742755900898261;0.6353033959321347;0.9363897305771981
ENSMUSG00000000184;202.9962162802083;0.2228814450670645;0.19207578105236;1.1603828647522556;0.24589296009817407;0.7822643171248559
ENSMUSG00000000194;1162.9934816516416;-0.1232915141143064;0.061962663159855824;-1.989771062554718;0.04661616049223347;0.5777478473529906
ENSMUSG00000000197;754.5440988718105;0.015773595097005214;0.10375495753708043;0.15202738713827696;0.8791653349009451;0.9889576914744829
ENSMUSG00000000202;15.655011480041034;1.3080169014419667;0.7710936417958717;1.6963139501391875;0.08982643999173706;
ENSMUSG00000000204;9.947739495821624;0.2990153705590688;0.6794794369641525;0.44006537106559124;0.6598897617158292;
ENSMUSG00000000214;251.39589726956726;0.43084929708435615;0.5555276792326285;0.7755676507055503;0.43800430702162996;0.8731880908234245
ENSMUSG00000000223;10806.520086385539;-0.054304316087149654;0.1201381570125306;-0.4520155580669148;0.6512577743890962;0.940772340125831
ENSMUSG00000000247;5.686933517526398;1.2247534254179913;1.186053754007139;1.032628935476241;0.3017775816498829;
ENSMUSG00000000253;845.158675350864;0.04417877009675762;0.07977037789919414;0.5538242548203338;0.5796991271862717;0.9214316428405186
ENSMUSG00000000266;707.2341349511626;-0.043685375956634874;0.0710318659454606;-0.6150109584644334;0.5385474834388287;0.9082083657115335
ENSMUSG00000000275;327.74790679538006;-0.18574245662908692;0.13977286473243544;-1.3288878137015379;0.1838849848894194;0.7486509822831007
ENSMUSG00000000276;588.3283674094079;-0.45912213090114407;0.18869822448899592;-2.433102548497578;0.014970060417024453;0.4306225608737583
ENSMUSG00000000278;399.1869113927141;-0.2783359423720543;0.16478377332246236;-1.6890980025526163;0.09120065058492569;0.6683769470986894
ENSMUSG00000000282;744.9543398211939;0.07527904122237485;0.06724641871393557;1.1194505620085113;0.2629479706969349;0.7972436524977179
ENSMUSG00000000290;93.45115179551665;1.060597224833733;0.5446181725062212;1.9474143140561795;;
ENSMUSG00000000295;220.47576637290067;0.048089952016174484;0.11975556956584255;0.40156756124594484;0.688002307148839;0.9502043358431344
ENSMUSG00000000296;126.40319417397717;0.13974291159494112;0.17972556647086896;0.7775349625485339;0.4368432153234938;0.8731880908234245
ENSMUSG00000000301;70.710554026922;0.09538281203468285;0.20533420448868214;0.46452471117611716;0.6422718592797443;
ENSMUSG00000000303;3443.511149737302;-0.1669120517566196;0.03252089443329616;-5.132455753914584;2.8598597181741626e-07;0.0016494240924569484
